,City,Date,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind
0,Bluff,1538288516,36,AU,34,-23.58,149.07,85.76,8.43
1,Castro,1538288568,80,CL,100,-42.48,-73.76,36.89,7.2
2,Sibolga,1538288865,32,ID,100,1.74,98.78,75.86,1.39
3,Barrow,1538288729,20,AR,84,-38.31,-60.23,45.98,6.2
4,Itacoatiara,1538288866,12,BR,69,-3.14,-58.44,81.62,5.41
5,Sitka,1538288751,0,US,66,37.17,-99.65,70.55,17.72
6,Apucarana,1538287200,0,BR,78,-23.55,-51.46,73.4,11.68
7,Chuy,1538288867,92,UY,96,-33.69,-53.46,65.78,4.63
8,Katsuura,1538286300,90,JP,83,33.93,134.5,80.6,44.96
9,Punta Arenas,1538283600,0,CL,64,-53.16,-70.91,33.8,16.11
10,Hilo,1538286960,90,US,84,19.71,-155.08,78.98,3.36
11,Rylsk,1538288868,80,RU,95,51.57,34.68,40.94,4.63
12,Rikitea,1538288755,92,PF,100,-23.12,-134.97,72.98,11.79
13,Kota Belud,1538287200,75,MY,75,6.35,116.43,91.4,2.24
14,Ushuaia,1538284800,90,AR,86,-54.81,-68.31,30.2,21.92
15,La Ronge,1538287200,75,CA,63,55.1,-105.3,26.6,10.29
16,Asosa,1538288869,68,ET,97,10.07,34.53,68.39,3.74
17,Ulladulla,1538283600,0,AU,42,-35.36,150.48,62.6,12.75
18,Bethel,1538286780,40,US,62,60.79,-161.76,59.0,12.75
19,Vaini,1538288728,32,IN,93,15.34,74.49,81.53,2.62
20,Pyapon,1538288870,80,MM,100,16.29,95.68,82.97,4.74
21,Cabo San Lucas,1538288631,64,MX,100,22.89,-109.91,81.8,3.18
22,Katherine,1538287200,0,AU,14,-14.47,132.26,98.6,16.11
23,Thompson,1538287500,75,CA,74,55.74,-97.86,28.4,9.17
24,Severo-Kurilsk,1538288776,0,RU,83,50.68,156.12,53.36,11.01
25,Port Elizabeth,1538286960,1,US,96,39.31,-74.98,60.98,4.85
26,Nanortalik,1538288731,92,GL,97,60.14,-45.24,37.07,35.95
27,Karratha,1538288872,0,AU,32,-20.74,116.85,85.13,14.03
28,Kutulik,1538288873,0,RU,75,53.35,102.79,58.49,6.42
29,Saint-Joseph,1538287200,0,FR,71,43.56,6.97,64.4,5.82
30,Busselton,1538288750,0,AU,88,-33.64,115.35,65.78,23.76
31,Anadyr,1538283600,75,RU,93,64.73,177.51,50.0,40.26
32,Sinnamary,1538288874,12,GF,97,5.38,-52.96,81.08,12.12
33,Marica,1538287200,40,BR,83,-22.92,-42.82,75.2,6.93
34,Bijie,1538288875,100,CN,73,27.3,105.3,65.06,3.85
35,New Norfolk,1538287200,75,AU,48,-42.78,147.06,62.6,10.29
36,Berlevag,1538288875,92,NO,100,70.86,29.09,37.16,12.46
37,Kieta,1538288875,48,PG,98,-6.22,155.63,80.9,2.73
38,Kapaa,1538287620,40,US,100,22.08,-159.32,78.08,11.41
39,Port Lincoln,1538288876,24,AU,72,-34.72,135.86,63.89,13.13
40,Albany,1538287980,1,US,86,42.65,-73.75,46.94,2.17
41,Georgetown,1538287200,0,GY,94,6.8,-58.16,75.2,2.24
42,Alphen,1538286900,0,NL,79,51.82,5.47,37.4,1.12
43,Gander,1538287200,20,CA,87,48.95,-54.61,48.2,14.99
44,Funadhoo,1538288887,80,MV,100,6.15,73.27,82.79,15.03
45,Provideniya,1538288888,92,RU,84,64.42,-173.23,49.13,25.55
46,Esna,1538288888,12,RO,75,45.2,27.57,52.37,19.39
47,Binzhou,1538288888,0,CN,41,37.38,117.96,68.3,17.16
48,Bintulu,1538287200,75,MY,63,3.17,113.03,91.4,6.93
49,Lima,1538288690,12,PE,80,-12.06,-77.04,54.53,2.17
50,Vao,1538288889,92,EE,97,59.1,26.19,48.41,13.69
51,Weatherford,1538286900,40,US,90,32.76,-97.8,71.96,11.41
52,Saint-Philippe,1538287200,75,CA,81,45.36,-73.48,51.8,2.24
53,Prince George,1538287200,1,CA,50,53.92,-122.75,33.8,13.87
54,Sao Joao da Barra,1538288890,88,BR,100,-21.64,-41.05,73.43,9.55
55,Biak,1538288890,36,ID,92,-0.91,122.88,80.45,6.98
56,Santa Cruz Cabralia,1538287200,20,BR,94,-16.28,-39.02,69.8,2.24
57,Adrar,1538287200,0,DZ,39,27.87,-0.29,66.2,11.41
58,Hithadhoo,1538288732,92,MV,100,-0.6,73.08,82.7,13.24
59,Grudziadz,1538287200,0,PL,80,53.48,18.75,41.0,5.82
60,Lebu,1538283600,0,ET,55,8.96,38.73,62.6,9.17
61,Qaanaaq,1538288705,44,GL,100,77.48,-69.36,16.46,7.99
62,Victoria,1538287200,75,BN,66,5.28,115.24,89.6,2.24
63,Valley City,1538286900,90,US,100,46.92,-98.0,41.0,5.82
64,Atuona,1538288754,88,PF,100,-9.8,-139.03,79.46,9.44
65,Lasa,1538287200,20,CY,61,34.92,32.53,84.2,3.36
66,Pevek,1538288893,92,RU,79,69.7,170.27,49.76,9.55
67,Scarborough,1538286600,24,GB,87,54.28,-0.41,50.0,5.82
68,Lakes Entrance,1538288894,0,AU,78,-37.88,147.99,57.86,6.42
69,Esperance,1538287200,20,TT,94,10.24,-61.45,78.8,6.53
70,Yellowknife,1538287200,90,CA,92,62.45,-114.38,30.2,5.82
71,Tuktoyaktuk,1538283600,90,CA,92,69.44,-133.03,24.8,3.36
72,Athabasca,1538288895,0,CA,72,54.72,-113.29,18.08,2.95
73,Mataura,1538288729,64,NZ,81,-46.19,168.86,54.98,4.85
74,Lang Suan,1538287200,40,TH,75,9.95,99.07,89.6,8.05
75,Marsa Matruh,1538283600,75,EG,68,31.35,27.25,71.6,5.82
76,Labuhan,1538288896,36,ID,79,-2.54,115.51,84.41,3.4
77,Iqaluit,1538287200,90,CA,92,63.75,-68.52,30.2,29.97
78,Agua Dulce,1538288897,44,MX,100,18.14,-94.15,73.97,3.62
79,Maceio,1538287200,40,BR,94,-9.67,-35.74,73.4,6.93
80,Upernavik,1538288897,76,GL,100,72.79,-56.15,34.91,10.45
81,Cherskiy,1538288458,24,RU,75,68.75,161.3,45.26,4.85
82,Khani,1538287200,0,GE,53,41.96,42.96,71.6,12.75
83,Marshall,1538288100,40,US,94,39.39,-87.69,57.92,3.36
84,Cape Town,1538287200,0,ZA,67,-33.93,18.42,59.0,6.93
85,Kyshtovka,1538288899,20,RU,59,56.56,76.62,57.59,12.12
86,Maine-Soroa,1538288899,0,NE,72,13.21,12.02,75.68,3.18
87,Rivers,1538287200,90,CA,60,50.03,-100.23,39.2,14.99
88,Bredasdorp,1538287200,8,ZA,77,-34.53,20.04,59.0,2.24
